,Unnamed: 0,comics,id,name
595,95,9,1011066,Victor Mancha
596,96,39,1010324,Victor Von Doom
597,97,4,1011261,Vin Gonzales
598,98,30,1009695,Vindicator
599,99,0,1010666,Violations
600,0,49,1009696,Viper
601,1,7,1010697,Virginia Dare
602,2,549,1009697,Vision
603,3,16,1009698,Vivisector
604,4,20,1011011,Vulcan (Gabriel Summers)
605,5,97,1009699,Vulture (Adrian Toomes)
606,6,1,1010990,Vulture (Blackie Drago)
607,7,10,1010849,Wallflower
608,8,0,1011267,Wallop
609,9,0,1009700,Wallow
610,10,13,1009701,War (Abraham Kieros)
611,11,0,1017322,War Machine (Iron Man 3 - The Official Game)
612,12,0,1017304,War Machine (Marvel: Avengers Alliance)
613,13,1,1010991,War Machine (Parnell Jacobs)
614,14,3,1011226,War Machine (Ultimate)
615,15,31,1009703,Warbird
616,16,5,1011121,Warbound
617,17,7,1010372,Warhawk (Mitchell Tanner)
618,18,0,1009704,Warlock (Janie Chin)
619,19,25,1011287,Warlock (Technarchy)
620,20,214,1009705,Warpath
621,21,1,1010668,Warren Worthington III
622,22,9,1009706,Warstar
623,23,412,1009707,Wasp
624,24,28,1010992,Wasp (Ultimate)
625,25,9,1011133,Weapon Omega
626,26,47,1009709,Weapon X
627,27,6,1011402,Wendell Rand
628,28,0,1010742,Wendell Vaughn
629,29,21,1009710,Wendigo
630,30,84,1010765,Werewolf By Night
631,31,11,1009711,Whiplash (Mark Scarlotti)
632,32,33,1010348,Whirlwind
633,33,0,1010342,Whistler
634,34,0,1009712,White Queen (Adrienne Frost)
635,35,50,1010853,White Tiger (Angela Del Toro)
636,36,0,1016838,White Tiger (USM)
637,37,2,1011425,Whizzer (Stanley Stewart)
638,38,55,1009714,Wiccan
639,39,32,1009715,Wild Child
640,40,8,1010994,Wild Child (Age of Apocalypse)
641,41,8,1011067,Wild Pack
642,42,19,1009716,Wildside
643,43,11,1009633,William Stryker
644,44,0,1010680,Wilson Fisk
645,45,15,1011009,Wind Dancer
646,46,208,1010740,Winter Soldier
647,47,10,1011043,Wither
648,48,0,1011290,Wolf Cub
649,49,14,1011281,Wolfpack
650,50,128,1009717,Wolfsbane
651,51,1,1010995,Wolfsbane (Age of Apocalypse)
652,52,0,1010729,Wolver-dok
653,53,2470,1009718,Wolverine
654,54,0,1017297,Wolverine (LEGO Marvel Super Heroes)
655,55,0,1017325,Wolverine (Marvel War of Heroes)
656,56,98,1011006,Wolverine (Ultimate)
657,57,0,1017479,Wolverine (X-Men: Battle of the Atom)
658,58,260,1009719,Wonder Man
659,59,89,1009720,Wong
660,60,3,1015005,Wong (Ultimate)
661,61,13,1010737,Wraith
662,62,12,1010884,Wrecker
663,63,15,1010883,Wrecking Crew
664,64,219,1009722,X-23
665,65,0,1010804,X-51
666,66,14,1011418,X-Babies
667,67,4,1009723,X-Cutioner
668,68,195,1010738,X-Factor
669,69,14,1010739,X-Factor Investigations
670,70,305,1009724,X-Force
671,71,110,1009725,X-Man
672,72,3432,1009726,X-Men
673,73,198,1011109,X-Men (Ultimate)
674,74,0,1010875,X-Ray (James Darnell)
675,75,41,1010806,X-Statix
676,76,0,1009732,X.S.E.
677,77,2,1011094,Xavin
678,78,22,1009734,Xorn (Kuan-Yin Xorn)
